# name	sci	cat	layer	flags	note
# flags: nat k inv N D P z6 | tags after flags as pollinator,wildlife,medicinal
McIntosh Apple	Malus domestica	Fruit Tree	Overstory	k	
Cortland Apple	Malus domestica	Fruit Tree	Overstory	k	
Empire Apple	Malus domestica	Fruit Tree	Overstory	k	
Macoun Apple	Malus domestica	Fruit Tree	Overstory	k	
Liberty Apple	Malus domestica	Fruit Tree	Overstory	k	
Golden Delicious Apple	Malus domestica	Fruit Tree	Overstory	k	
Red Delicious Apple	Malus domestica	Fruit Tree	Overstory	k	
Fuji Apple	Malus domestica	Fruit Tree	Overstory	k z6	
Winesap Apple	Malus domestica	Fruit Tree	Overstory	k	
Northern Spy Apple	Malus domestica	Fruit Tree	Overstory	k	
Bosc Pear	Pyrus communis	Fruit Tree	Overstory	k	
Anjou Pear	Pyrus communis	Fruit Tree	Overstory	k	
Seckel Pear	Pyrus communis	Fruit Tree	Overstory	k	
Moonglow Pear	Pyrus communis	Fruit Tree	Overstory	k	
Harrow Sweet Pear	Pyrus communis	Fruit Tree	Overstory	k	
Contender Peach	Prunus persica	Fruit Tree	Overstory	k z6	Cold-hardy; protect in zone 5b.
Redhaven Peach	Prunus persica	Fruit Tree	Overstory	k z6	
Encore Peach	Prunus persica	Fruit Tree	Overstory	k z6	
Stanley Plum	Prunus domestica	Fruit Tree	Overstory	k	
Damson Plum	Prunus domestica	Fruit Tree	Overstory	k	
Shiro Plum	Prunus salicina	Fruit Tree	Overstory	k z6	
Methley Plum	Prunus salicina	Fruit Tree	Overstory	k z6	
Mount Royal Plum	Prunus domestica	Fruit Tree	Overstory	k	
Superior Plum	Prunus domestica	Fruit Tree	Overstory	k	
Morello Cherry	Prunus cerasus	Fruit Tree	Overstory	k	
Stella Sweet Cherry	Prunus avium	Fruit Tree	Overstory	k z6	
Black Gold Sweet Cherry	Prunus avium	Fruit Tree	Overstory	k z6	
Hardired Nectarine	Prunus persica	Fruit Tree	Overstory	k z6	
Hargrand Apricot	Prunus armeniaca	Fruit Tree	Overstory	k z6	Sheltered microclimate in 5b.
Goldcot Apricot	Prunus armeniaca	Fruit Tree	Overstory	k z6	
Moorpark Apricot	Prunus armeniaca	Fruit Tree	Overstory	k z6	
Hosui Asian Pear	Pyrus pyrifolia	Fruit Tree	Overstory	k	
Shinko Asian Pear	Pyrus pyrifolia	Fruit Tree	Overstory	k	
Korean Giant Asian Pear	Pyrus pyrifolia	Fruit Tree	Overstory	k	
Red Mulberry	Morus rubra	Fruit Tree	Overstory	k nat	
White Mulberry	Morus alba	Fruit Tree	Overstory	k	
Nikita's Gift Persimmon	Diospyros kaki	Fruit Tree	Overstory	k z6	
