# name	sci	cat	layer	flags	note
Fuji Apple	Malus domestica	Fruit Tree	Overstory	k	
Gala Apple	Malus domestica	Fruit Tree	Overstory	k	
Golden Delicious Apple	Malus domestica	Fruit Tree	Overstory	k	
Red Delicious Apple	Malus domestica	Fruit Tree	Overstory	k	
Arkansas Black Apple	Malus domestica	Fruit Tree	Overstory	k	
Stayman Winesap Apple	Malus domestica	Fruit Tree	Overstory	k	
Liberty Apple	Malus domestica	Fruit Tree	Overstory	k	
Enterprise Apple	Malus domestica	Fruit Tree	Overstory	k	
Jonagold Apple	Malus domestica	Fruit Tree	Overstory	k	
Cortland Apple	Malus domestica	Fruit Tree	Overstory	k	
Lodi Apple	Malus domestica	Fruit Tree	Overstory	k z6	
Kieffer Pear	Pyrus communis	Fruit Tree	Overstory	k	
Orient Pear	Pyrus communis	Fruit Tree	Overstory	k	
Ayres Pear	Pyrus communis	Fruit Tree	Overstory	k	
Warren Pear	Pyrus communis	Fruit Tree	Overstory	k	
Elberta Peach	Prunus persica	Fruit Tree	Overstory	k	
Georgia Belle Peach	Prunus persica	Fruit Tree	Overstory	k	
Loring Peach	Prunus persica	Fruit Tree	Overstory	k	
Harvester Peach	Prunus persica	Fruit Tree	Overstory	k	
Cresthaven Peach	Prunus persica	Fruit Tree	Overstory	k	
Dixieland Peach	Prunus persica	Fruit Tree	Overstory	k z7	
Fantasia Nectarine	Prunus persica	Fruit Tree	Overstory	k	
Redgold Nectarine	Prunus persica	Fruit Tree	Overstory	k	
Hardired Nectarine	Prunus persica	Fruit Tree	Overstory	k	
Bruce Plum	Prunus salicina	Fruit Tree	Overstory	k	
Ozark Premier Plum	Prunus salicina	Fruit Tree	Overstory	k	
Wild Plum	Prunus americana	Fruit Tree	Shrub	k nat	
Morello Cherry	Prunus cerasus	Fruit Tree	Overstory	k	
Bing Cherry	Prunus avium	Fruit Tree	Overstory	k z7	
Chinese Apricot	Prunus armeniaca	Fruit Tree	Overstory	k	
Early Golden Apricot	Prunus armeniaca	Fruit Tree	Overstory	k	
Elliott Pecan	Carya illinoinensis	Fruit Tree	Overstory	k z7	West TN pecan belt.
Pawnee Pecan	Carya illinoinensis	Fruit Tree	Overstory	k z7	
Desirable Pecan	Carya illinoinensis	Fruit Tree	Overstory	k z7	
Pignut Hickory	Carya glabra	Fruit Tree	Overstory	k nat	
Wells Pawpaw	Asimina triloba	Fruit Tree	Understory	k nat	
NC-1 Pawpaw	Asimina triloba	Fruit Tree	Understory	k nat	
Rosseyanka Persimmon	Diospyros kaki	Fruit Tree	Overstory	k z7	
JT-02 Persimmon	Diospyros kaki	Fruit Tree	Overstory	k z7	
Celeste Fig	Ficus carica	Fruit Tree	Shrub	k z7	TN fig country — mulch in 6a.
LSU Purple Fig	Ficus carica	Fruit Tree	Shrub	k z7	
Alma Fig	Ficus carica	Fruit Tree	Shrub	k z7	
Pakistan Mulberry	Morus alba	Fruit Tree	Overstory	k	
Illinois Everbearing Mulberry	Morus alba	Fruit Tree	Overstory	k	
Shadbush Serviceberry	Amelanchier arborea	Berry	Understory	k nat	
Mayhaw	Crataegus opaca	Fruit Tree	Shrub	k nat	West TN jelly fruit.
Li Jujube	Ziziphus jujuba	Fruit Tree	Overstory	k	
Lang Jujube	Ziziphus jujuba	Fruit Tree	Overstory	k	
Sherwood Jujube	Ziziphus jujuba	Fruit Tree	Overstory	k	
Che Fruit	Maclura tricuspidata	Fruit Tree	Overstory	k	
